Date,Ticker,SyntheticBorrowRate
2024-11-01,BAC,
2024-11-04,BAC,
2024-11-05,BAC,
2024-11-06,BAC,
2024-11-07,BAC,
2024-11-08,BAC,
2024-11-11,BAC,
2024-11-12,BAC,
2024-11-13,BAC,
2024-11-14,BAC,
2024-11-15,BAC,0.001455751563639254
2024-11-18,BAC,0.0014454420178578312
2024-11-19,BAC,-0.0021544661284223165
2024-11-20,BAC,0.0013701003114136843
2024-11-21,BAC,0.0031722450920841317
2024-11-22,BAC,-0.004868104312047431
2024-11-25,BAC,-0.0014389912289805803
2024-11-26,BAC,0.0018375954337843334
2024-11-27,BAC,0.0008795051097125465
2024-11-29,BAC,0.0020499698876047722
2024-12-02,BAC,-0.002006048198361247
2024-12-03,BAC,-0.00011081325876629853
2024-12-04,BAC,0.0010505955555236688
2024-12-05,BAC,-0.0006744518495080071
2024-12-06,BAC,-8.975597820307167e-05
2024-12-09,BAC,-0.0006342295910295016
2024-12-10,BAC,0.0012469555325302654
2024-12-11,BAC,0.0007152370970393688
2024-12-12,BAC,0.00011409720968202234
2024-12-13,BAC,-0.0012913671088958315
2024-12-16,BAC,-0.0002926906772659268
2024-12-17,BAC,-0.0017221567825698963
2024-12-18,BAC,-0.0011288671714628157
2024-12-19,BAC,-0.004895969600302505
2024-12-20,BAC,-0.002188091839654558
2024-12-23,BAC,-0.0002994667643903137
2024-12-24,BAC,-0.0015400349604172711
2024-12-26,BAC,0.001596231524767649
2024-12-27,BAC,-0.002725812956640025
2024-12-30,BAC,0.00044139664190167595
2024-12-31,BAC,0.0003214070262354831
2025-01-02,BAC,-0.0034013043145507396
2025-01-03,BAC,0.0034767607642699335
2025-01-06,BAC,0.001611640138392882
2025-01-07,BAC,0.004600657548510579
2025-01-08,BAC,0.003500955428519165
2025-01-10,BAC,0.0032948976020532963
2025-01-13,BAC,-0.0019433225890976755
2025-01-14,BAC,0.0003493323451930091
2025-01-15,BAC,0.0028361162580282863
2025-01-16,BAC,0.004061488479593274
2025-01-17,BAC,0.0006834298682471573
2025-01-21,BAC,0.002990094954439122
2025-01-22,BAC,0.0021302407032249074
2025-01-23,BAC,-0.0004215301964184504
2025-01-24,BAC,-0.0018251352133113533
2025-01-27,BAC,0.0012945368576506267
2025-01-28,BAC,0.0012793949925513173
2025-01-29,BAC,0.0009330759721357644
2025-01-30,BAC,-0.001346600808491768
2025-01-31,BAC,0.0020974524056916106
2025-02-03,BAC,-0.001638991243285191
2025-02-04,BAC,0.0004935424736817346
2025-02-05,BAC,0.0015469440091395374
2025-02-06,BAC,0.0004853280478647825
2025-02-07,BAC,0.0004396231426966597
2025-02-10,BAC,-0.002800770677365013
2025-02-11,BAC,0.001631575384983491
2025-02-12,BAC,-0.002008592462429902
2025-02-13,BAC,0.0013366995801298216
2025-02-14,BAC,0.0013419741956010468
2025-02-18,BAC,0.0005881891533186692
2025-02-19,BAC,-0.0008710983095112253
2025-02-20,BAC,-0.0013360774730778963
2025-02-21,BAC,0.0015994818848851895
2025-02-24,BAC,-0.003821627833787579
2025-02-25,BAC,-0.0035470136003796547
2025-02-26,BAC,-0.0009341951626928178
